sentence,main_mountain,mentioned_mountains
"Mount Everest, known locally as Sagarmatha or Qomolangma,  is Earth's highest mountain above sea level, located in the Mahalangur Himal sub-range of the Himalayas.",mount everest,"['mount everest', 'olan']"
"Its elevation (snow height) of 8,848.86 m (29,031 ft 8+1⁄2 in) was most recently established in 2020 by the Chinese and Nepali authorities.
Mount Everest attracts many climbers, including highly experienced mountaineers.",mount everest,['mount everest']
"K2, at 8,611 metres (28,251 ft) above sea level, is the second-highest mountain on Earth, after Mount Everest at 8,849 metres (29,032 ft).",k2,"['mount everest', 'k2']"
"It lies in the Karakoram range, partially in the Gilgit-Baltistan region of Pakistan-administered Kashmir and partially in the China-administered Trans-Karakoram Tract in the Taxkorgan Tajik Autonomous County of Xinjiang.
K2 became known as the Savage Mountain after George Bell—a climber on the 1953 American expedition—said, ""It's a savage mountain that tries",k2,['k2']
"Kangchenjunga, also spelled Kanchenjunga, Kanchanjanghā and Khangchendzonga, is the third-highest mountain in the world.",kangchenjunga,['kangchenjunga']
"Its summit lies at 8,586 m (28,169 ft) in a section of the Himalayas, the Kangchenjunga Himal, which is bounded in the west by the Tamur River, in the north by the Lhonak River and Jongsang La, and in the east by the Teesta River.",kangchenjunga,['kangchenjunga']
"Lhotse (Nepali: ल्होत्से, romanized: L'hōtsē [lotse]; Standard Tibetan: ལྷོ་རྩེ, romanized: lho tse, lit. 'South Peak' [l̥otse]; Chinese: 洛子峰) is the fourth-highest mountain on Earth, after Mount Everest, K2, and Kangchenjunga.",lhotse,"['mount everest', 'k2', 'kangchenjunga', 'lhotse']"
"At an elevation of 8,516 metres (27,940 ft) above sea level, the main summit is on the border between Tibet Autonomous Region of China and the Khumbu region of Nepal.
With Everest to the north and Nuptse to the west, Lhotse forms the apex of the massive horseshoe-shaped a",lhotse,"['lhotse', 'nuptse']"
"Makalu (Nepali: मकालु हिमाल, romanized: Makālu himāl; Chinese: 马卡鲁峰; pinyin: Mǎkǎlǔ Fēng) is the fifth-highest mountain on Earth, with a summit at an elevation of 8,485 metres (27,838 ft) AMSL.",makalu,['makalu']
"It is located in the Mahalangur Himalayas 19 km (12 mi) southeast of Mount Everest,  on the China–Nepal border.",makalu,['mount everest']
"One of the eight-thousanders, Makalu is an isolated peak shaped like a four-sided pyramid.
Makalu has two notable subsidiary peaks.",makalu,['makalu']
"Kangchungtse, or Makalu II (7,678 m), lies about three kilomet",makalu,['makalu']
"Cho Oyu (Nepali: चोयु; Tibetan: ཇོ་བོ་དབུ་ཡ; Chinese: 卓奥友峰) is the sixth-highest mountain in the world at 8,188 metres (26,864 ft) above sea level.",cho oyu,['cho oyu']
"Cho Oyu means ""Turquoise Goddess"" in Tibetan.",cho oyu,['cho oyu']
The mountain is the westernmost major peak of the Khumbu sub-section of the Mahalangur Himalaya 20 km west of Mount Everest.,cho oyu,['mount everest']
"The mountain stands on the China–Nepal border, between the Tibet Autonomous Region and Koshi Province.
Just a few kilometres west of Cho Oyu is Nangpa La (5,716m/18,753 ft), a gla",cho oyu,['cho oyu']
"Dhaulagiri, located in Nepal, is the seventh highest mountain in the world at 8,167 metres (26,795 ft) above sea level, and the highest mountain within the borders of a single country.",dhaulagiri,['dhaulagiri']
"It was first climbed on 13 May 1960 by a Swiss-Austrian-Nepali expedition.
Annapurna I (8,091 m (26,545 ft)) is 34 km (21 mi) east of Dhaulagiri.",dhaulagiri,"['dhaulagiri', 'annapurna']"
"The town of Pokhara is south of the Annapurnas, an important regio",dhaulagiri,['annapurna']
"Manaslu (; Nepali: मनास्लु, also known as Kutang) is the eighth-highest mountain in the world at 8,163 metres (26,781 ft) above sea level.",manaslu,['manaslu']
"Manaslu means ""mountain of the spirit"" and the word is derived from the Sanskrit word manasa, meaning ""intellect"" or ""soul"".",manaslu,['manaslu']
"Manaslu was first climbed on May 9, 1956, by Toshio Imanishi and Gyalzen Norbu, members of a Japanese expedition.",manaslu,['manaslu']
"Nanga Parbat (Urdu: نانگا پربت) (Urdu: [nəŋɡa pərbət̪]; lit. 'naked mountain'), known locally as Diamer (Shina: دیآمر, lit. 'King of the Mountains'), is the ninth-highest mountain on Earth and its summit is at 8,126 m (26,660 ft) above sea level.",nanga parbat,['nanga parbat']
"Lying immediately southeast of the northernmost bend of the Indus River in the Gilgit-Baltistan region of Pakistan-administered Kashmir, Nanga Parbat is the westernmost major peak of the Himalayas, and thus in the traditional view of the Himalayas as bo",nanga parbat,['nanga parbat']
"Annapurna (; Nepali: अन्नपूर्ण) is a mountain situated in the Annapurna mountain range of Gandaki Province, north-central Nepal.",annapurna,['annapurna']
"Broad Peak (Balti: ཕ༹ལ་ཆན་གངས་རི་།, romanized: Falchan Kangri, lit. 'Broad Peak'; Urdu: بروڈ پیک) is one of the eight-thousanders, and is located in the Karakoram range spanning Gilgit-Baltistan, Pakistan and Xinjiang, China.",broad peak,['broad peak']
"Shishapangma, or Shishasbangma or Xixiabangma (Chinese: 希夏邦马; pinyin: Xī xià bāng mǎ), is the 14th-highest mountain in the world, at 8,027 metres (26,335 ft) above sea level.",shishapangma,['shishapangma']
"Gasherbrum III (Urdu: گاشر برم۔۳); simplified Chinese: 加舒尔布鲁木III峰; traditional Chinese: 加舒爾布魯木III峰; pinyin: Jiāshūěrbùlǔmù III Fēng), surveyed as K3a, is a summit in the Gasherbrum massif of the Baltoro Muztagh, a subrange of the Karakoram on the border between Xinjiang, China and Gilgit-Baltistan, Pakistan.",gasherbrum iii,['gasherbrum iii']
"It is situated between Gasherbrum II and IV.
Gasherbrum III fails to meet a 500 metres (1,600 ft) topographic prominence cutoff to be an independent mountain; hence it can be considered a su",gasherbrum iii,['gasherbrum iii']
