sentence,label
"Mount Everest, Qomolangma, Earth's highest level, located Mahalangur Himal",B-MOUNTAIN I-MOUNTAIN O O O O O O O
"(snow ft 8+1⁄2 recently 2020 Nepali authorities. Mount Everest attracts climbers, experienced mountaineers.",O O O O O O O B-MOUNTAIN I-MOUNTAIN O O O O
"K2, 8,611 metres sea level, mountain Earth, Mount Everest 8,849",B-MOUNTAIN O O O O O O B-MOUNTAIN I-MOUNTAIN O
"lies Karakoram range, Pakistan-administered Kashmir partially China-administered Tajik Autonomous County Xinjiang. K2 became Bell—a climber ""It's tries",O O O O O O O O O O O B-MOUNTAIN O O O O O
"Kangchenjunga, also spelled Kanchanjanghā mountain",B-MOUNTAIN O O O O
"8,586 (28,169 section Himalayas, Kangchenjunga Himal, bounded River, Lhonak Jongsang Teesta",O O O O B-MOUNTAIN O O O O O O
"Lhotse (Nepali: L'hōtsē Tibetan: romanized: lho lit. [l̥otse]; fourth-highest mountain Earth, Mount Everest, K2, Kangchenjunga.",B-MOUNTAIN O O O O O O O O O O B-MOUNTAIN I-MOUNTAIN B-MOUNTAIN B-MOUNTAIN
"8,516 metres sea level, summit China Khumbu Everest north Nuptse west, Lhotse apex massive",O O O O O O O O O B-MOUNTAIN O B-MOUNTAIN O O
"Makalu मकालु हिमाल, romanized: Makālu Chinese: 马卡鲁峰; pinyin: Mǎkǎlǔ fifth-highest elevation metres",B-MOUNTAIN O O O O O O O O O O O
"Mahalangur 19 km southeast Mount Everest, China–Nepal",O O O O B-MOUNTAIN I-MOUNTAIN O
"One eight-thousanders, Makalu isolated pyramid. Makalu notable peaks.",O O B-MOUNTAIN O O B-MOUNTAIN O O
"Kangchungtse, Makalu II lies kilomet",O B-MOUNTAIN O O O
"Cho Oyu ཇོ་བོ་དབུ་ཡ; Chinese: 卓奥友峰) sixth-highest mountain (26,864 ft) sea",B-MOUNTAIN I-MOUNTAIN O O O O O O O O
"Cho Oyu means ""Turquoise",B-MOUNTAIN I-MOUNTAIN O O
westernmost major Khumbu Mahalangur 20 km Mount Everest.,O O O O O O B-MOUNTAIN I-MOUNTAIN
"stands Tibet Autonomous Koshi west Cho Oyu La (5,716m/18,753 gla",O O O O O B-MOUNTAIN I-MOUNTAIN O O O
"Dhaulagiri, located seventh world 8,167 (26,795 level, highest mountain country.",B-MOUNTAIN O O O O O O O O O
"first May Annapurna (8,091 (26,545 34 (21 mi) east Dhaulagiri.",O O B-MOUNTAIN O O O O O O B-MOUNTAIN
"Manaslu (; मनास्लु, also known Kutang) eighth-highest ft) level.",B-MOUNTAIN O O O O O O O O
"Manaslu ""mountain word word meaning ""intellect"" ""soul"".",B-MOUNTAIN O O O O O O
